Parent_Airline,Airline,Aircraft_Type,Current,Future,Historic,Total,Orders,Unit_Cost,Total_Cost,Average_Age
Aegean Airlines,Aegean Airlines,Airbus A319,1.0,0.0,3.0,4.0,0.0,90.0,90.0,11.6
Aegean Airlines,Olympic Air,Airbus A319,0.0,0.0,8.0,8.0,0.0,90.0,0.0,0.0
Aegean Airlines,Aegean Airlines,Airbus A320,38.0,0.0,3.0,41.0,0.0,98.0,3724.0,7.5
Aegean Airlines,Olympic Air,Airbus A320,0.0,0.0,9.0,9.0,0.0,98.0,0.0,0.0
Aegean Airlines,Aegean Airlines,Airbus A321,8.0,0.0,0.0,8.0,0.0,115.0,919.0,10.3
Aegean Airlines,Olympic Air,ATR 42/72,2.0,0.0,0.0,2.0,0.0,22.0,44.0,2.4
Aegean Airlines,Aegean Airlines,ATR 42/72,0.0,0.0,6.0,6.0,0.0,22.0,0.0,0.0
Aegean Airlines,Aegean Airlines,Boeing 737,0.0,0.0,17.0,17.0,0.0,74.0,0.0,0.0
Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,0.0,0.0,6.0,6.0,0.0,14.0,0.0,0.0
Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,12.0,0.0,7.0,19.0,0.0,31.0,376.0,12.6
Aeroflot,Aeroflot,Airbus A310,0.0,0.0,14.0,14.0,0.0,75.0,0.0,0.0
Aeroflot,Rossiya Airlines,Airbus A319,26.0,0.0,5.0,31.0,0.0,90.0,2330.0,12.7
Aeroflot,Aeroflot,Airbus A319,0.0,0.0,15.0,15.0,0.0,90.0,0.0,0.0
Aeroflot,Aurora Airlines,Airbus A319,10.0,0.0,0.0,10.0,0.0,90.0,896.0,11.0
Aeroflot,Aeroflot,Airbus A320,71.0,1.0,3.0,75.0,11.0,98.0,6958.0,5.7
Aeroflot,Rossiya Airlines,Airbus A320,5.0,0.0,8.0,13.0,0.0,98.0,490.0,15.2
Aeroflot,Aeroflot,Airbus A321,31.0,0.0,8.0,39.0,9.0,115.0,3562.0,3.6
